RegionID,Week,Sales_Inventory
394463,3/31/2018,38581
394463,4/30/2018,42253
394463,5/31/2018,45757
394463,6/30/2018,47492
394463,7/31/2018,48984
394463,8/31/2018,49782
394463,9/30/2018,49630
394463,10/31/2018,48916
394463,11/30/2018,46495
394463,12/31/2018,42304
394463,1/31/2019,38250
394463,2/28/2019,36754
394463,3/31/2019,39387
394463,4/30/2019,43789
394463,5/31/2019,48113
394463,6/30/2019,50794
394463,7/31/2019,51883
394463,8/31/2019,52135
394463,9/30/2019,51829
394463,10/31/2019,50805
394463,11/30/2019,47938
394463,12/31/2019,43093
394463,1/31/2020,38966
394463,2/29/2020,37740
394463,3/31/2020,39339
394463,4/30/2020,39363
394463,5/31/2020,39734
394463,6/30/2020,40277
394463,7/31/2020,42454
394463,8/31/2020,43099
394463,9/30/2020,42308
394463,10/31/2020,40961
394463,11/30/2020,38027
394463,12/31/2020,33837
394463,1/31/2021,31334
394463,2/28/2021,29465
394463,3/31/2021,30421
394463,4/30/2021,30933
394463,5/31/2021,33464
394463,6/30/2021,35736
394463,7/31/2021,37773
394463,8/31/2021,39152
394463,9/30/2021,39022
394463,10/31/2021,37824
394463,11/30/2021,34563
394463,12/31/2021,29739
394463,1/31/2022,24881
394463,2/28/2022,21732
394463,3/31/2022,22202
394463,4/30/2022,23672
394463,5/31/2022,26136
394463,6/30/2022,28137
394463,7/31/2022,29939
394463,8/31/2022,30827
394463,9/30/2022,30437
394692,3/31/2018,25618
394692,4/30/2018,27360
394692,5/31/2018,29634
394692,6/30/2018,31129
394692,7/31/2018,32397
394692,8/31/2018,32911
394692,9/30/2018,32423
394692,10/31/2018,31475
394692,11/30/2018,30059
394692,12/31/2018,28517
394692,1/31/2019,27451
394692,2/28/2019,27492
394692,3/31/2019,29072
394692,4/30/2019,30727
394692,5/31/2019,32388
394692,6/30/2019,33538
394692,7/31/2019,34320
394692,8/31/2019,34363
394692,9/30/2019,33488
394692,10/31/2019,32299
394692,11/30/2019,30673
394692,12/31/2019,28845
394692,1/31/2020,27537
394692,2/29/2020,27218
394692,3/31/2020,28160
394692,4/30/2020,28412
394692,5/31/2020,29051
394692,6/30/2020,29048
394692,7/31/2020,29166
394692,8/31/2020,28003
394692,9/30/2020,26500
394692,10/31/2020,25193
394692,11/30/2020,23664
394692,12/31/2020,21921
394692,1/31/2021,20339
394692,2/28/2021,18784
394692,3/31/2021,18542
394692,4/30/2021,18455
394692,5/31/2021,19393
394692,6/30/2021,20306
394692,7/31/2021,21539
394692,8/31/2021,22548
394692,9/30/2021,22401
394692,10/31/2021,21509
394692,11/30/2021,20033
394692,12/31/2021,18242
394692,1/31/2022,16841
394692,2/28/2022,15716
394692,3/31/2022,16021
394692,4/30/2022,16491
394692,5/31/2022,17706
394692,6/30/2022,19102
394692,7/31/2022,20820
394692,8/31/2022,22213
394692,9/30/2022,22726
394458,3/31/2018,9209
394458,4/30/2018,9880
394458,5/31/2018,10726
394458,6/30/2018,11295
394458,7/31/2018,11824
394458,8/31/2018,12085
394458,9/30/2018,11814
394458,10/31/2018,11399
394458,11/30/2018,10607
394458,12/31/2018,9696
394458,1/31/2019,9035
394458,2/28/2019,8786
394458,3/31/2019,9406
394458,4/30/2019,9921
394458,5/31/2019,10665
394458,6/30/2019,10926
394458,7/31/2019,11137
394458,8/31/2019,10907
394458,9/30/2019,10634
394458,10/31/2019,10294
394458,11/30/2019,9634
394458,12/31/2019,8653
394458,1/31/2020,7879
394458,2/29/2020,7554
394458,3/31/2020,8010
394458,4/30/2020,8117
394458,5/31/2020,8452
394458,6/30/2020,8219
394458,7/31/2020,8060
394458,8/31/2020,7635
394458,9/30/2020,7347
394458,10/31/2020,7117
394458,11/30/2020,6560
394458,12/31/2020,5764
394458,1/31/2021,5407
394458,2/28/2021,5393
394458,3/31/2021,5891
394458,4/30/2021,6128
394458,5/31/2021,6533
394458,6/30/2021,6915
394458,7/31/2021,7354
394458,8/31/2021,7749
394458,9/30/2021,7732
394458,10/31/2021,7637
394458,11/30/2021,7210
394458,12/31/2021,6622
394458,1/31/2022,5891
394458,2/28/2022,5287
394458,3/31/2022,5339
394458,4/30/2022,5560
394458,5/31/2022,5965
394458,6/30/2022,6427
394458,7/31/2022,7042
394458,8/31/2022,7671
394458,9/30/2022,7850
394355,3/31/2018,7392
394355,4/30/2018,8277
394355,5/31/2018,9243
394355,6/30/2018,9920
394355,7/31/2018,10287
394355,8/31/2018,10366
394355,9/30/2018,10101
394355,10/31/2018,9783
394355,11/30/2018,9299
394355,12/31/2018,8684
394355,1/31/2019,8104
394355,2/28/2019,7785
394355,3/31/2019,8134
394355,4/30/2019,8664
394355,5/31/2019,9323
394355,6/30/2019,9769
394355,7/31/2019,9968
394355,8/31/2019,9912
394355,9/30/2019,9616
394355,10/31/2019,9261
394355,11/30/2019,8690
394355,12/31/2019,7864
394355,1/31/2020,7245
394355,2/29/2020,6919
394355,3/31/2020,7266
394355,4/30/2020,7557
394355,5/31/2020,8194
394355,6/30/2020,8436
394355,7/31/2020,8551
394355,8/31/2020,8111
394355,9/30/2020,7552
394355,10/31/2020,6809
394355,11/30/2020,5959
394355,12/31/2020,5049
394355,1/31/2021,4541
394355,2/28/2021,4360
394355,3/31/2021,5002
394355,4/30/2021,5879
394355,5/31/2021,6986
394355,6/30/2021,7708
394355,7/31/2021,8328
394355,8/31/2021,8757
394355,9/30/2021,8835
394355,10/31/2021,8532
394355,11/30/2021,7880
394355,12/31/2021,6921
394355,1/31/2022,5827
394355,2/28/2022,5003
394355,3/31/2022,5108
394355,4/30/2022,5868
394355,5/31/2022,7217
394355,6/30/2022,8844
394355,7/31/2022,10431
394355,8/31/2022,11540
394355,9/30/2022,11844
394902,3/31/2018,6837
394902,4/30/2018,7421
394902,5/31/2018,8141
394902,6/30/2018,8739
394902,7/31/2018,9184
394902,8/31/2018,9476
394902,9/30/2018,9556
394902,10/31/2018,9573
394902,11/30/2018,9361
394902,12/31/2018,8884
394902,1/31/2019,8384
394902,2/28/2019,8088
394902,3/31/2019,8318
394902,4/30/2019,8795
394902,5/31/2019,9511
394902,6/30/2019,10094
394902,7/31/2019,10542
394902,8/31/2019,10496
394902,9/30/2019,10304
394902,10/31/2019,9976
394902,11/30/2019,9631
394902,12/31/2019,8921
394902,1/31/2020,8174
394902,2/29/2020,7694
394902,3/31/2020,7810
394902,4/30/2020,8053
394902,5/31/2020,8532
394902,6/30/2020,8885
394902,7/31/2020,9138
394902,8/31/2020,9019
394902,9/30/2020,8618
394902,10/31/2020,8212
394902,11/30/2020,7648
394902,12/31/2020,6925
394902,1/31/2021,6355
394902,2/28/2021,5171
394902,3/31/2021,4554
394902,4/30/2021,3982
394902,5/31/2021,4368
394902,6/30/2021,4625
394902,7/31/2021,4956
394902,8/31/2021,5223
394902,9/30/2021,5345
394902,10/31/2021,5346
394902,11/30/2021,5044
394902,12/31/2021,4479
394902,1/31/2022,3752
394902,2/28/2022,3321
394902,3/31/2022,3447
394902,4/30/2022,3895
394902,5/31/2022,4590
394902,6/30/2022,5436
394902,7/31/2022,6341
394902,8/31/2022,7106
394902,9/30/2022,7479
