Region ID,Year,Month,Civilian Labor Force,Employment,Unemployment,Unemployment Rate
394355,2018,3,1179232,1143501,35731,3
394355,2018,4,1183111,1147281,35830,3
394355,2018,5,1185971,1150176,35795,3
394355,2018,6,1188164,1152543,35621,3
394355,2018,7,1190096,1154811,35285,3
394355,2018,8,1192227,1157195,35032,2.9
394355,2018,9,1194833,1159797,35036,2.9
394355,2018,10,1197988,1162774,35214,2.9
394355,2018,11,1201566,1166183,35383,2.9
394355,2018,12,1205099,1169731,35368,2.9
394355,2019,1,1208062,1173014,35048,2.9
394355,2019,2,1210286,1175856,34430,2.8
394355,2019,3,1212169,1178459,33710,2.8
394355,2019,4,1214358,1181265,33093,2.7
394355,2019,5,1217217,1184464,32753,2.7
394355,2019,6,1220798,1188032,32766,2.7
394355,2019,7,1224909,1191894,33015,2.7
394355,2019,8,1229191,1195968,33223,2.7
394355,2019,9,1233379,1200200,33179,2.7
394355,2019,10,1237420,1204549,32871,2.7
394355,2019,11,1241539,1209190,32349,2.6
394355,2019,12,1245807,1214037,31770,2.6
394355,2020,1,1250179,1218883,31296,2.5
394355,2020,2,1254380,1223390,30990,2.5
394355,2020,3,1230071,1179787,50284,4.1
394355,2020,4,1157693,1023648,134045,11.6
394355,2020,5,1202433,1074327,128106,10.7
394355,2020,6,1215873,1110823,105050,8.6
394355,2020,7,1234176,1137892,96284,7.8
394355,2020,8,1249054,1170255,78799,6.3
394355,2020,9,1246464,1174419,72045,5.8
394355,2020,10,1257253,1193869,63384,5
394355,2020,11,1260930,1195279,65651,5.2
394355,2020,12,1266317,1202080,64237,5.1
394355,2021,1,1271219,1208091,63128,5
394355,2021,2,1276193,1214212,61981,4.9
394355,2021,3,1281731,1221122,60609,4.7
394355,2021,4,1287646,1228771,58875,4.6
394355,2021,5,1293440,1236690,56750,4.4
394355,2021,6,1298864,1244423,54441,4.2
394355,2021,7,1316653,1264754,51899,3.9
394355,2021,8,1321722,1272340,49382,3.7
394355,2021,9,1326332,1279110,47222,3.6
394355,2021,10,1329929,1284271,45658,3.4
394355,2021,11,1330494,1285061,45433,3.4
394355,2021,12,1330106,1284482,45624,3.4
394355,2022,1,1333887,1289808,44079,3.3
394355,2022,2,1338536,1295280,43256,3.2
394355,2022,3,1343635,1302263,41372,3.1
394355,2022,4,1345798,1305731,40067,3
394355,2022,5,1347339,1307934,39405,2.9
394355,2022,6,1349098,1310096,39002,2.9
394355,2022,7,1351422,1312579,38843,2.9
394355,2022,8,1353340,1314490,38850,2.9
394458,2018,3,1302872,1252838,50034,3.8
394458,2018,4,1306102,1256775,49327,3.8
394458,2018,5,1309571,1260677,48894,3.7
394458,2018,6,1313105,1264468,48637,3.7
394458,2018,7,1316310,1267858,48452,3.7
394458,2018,8,1319083,1270667,48416,3.7
394458,2018,9,1321478,1273004,48474,3.7
394458,2018,10,1323776,1275235,48541,3.7
394458,2018,11,1326402,1277832,48570,3.7
394458,2018,12,1329191,1280612,48579,3.7
394458,2019,1,1331726,1283187,48539,3.6
394458,2019,2,1333785,1285415,48370,3.6
394458,2019,3,1335871,1287725,48146,3.6
394458,2019,4,1338546,1290628,47918,3.6
394458,2019,5,1341896,1294175,47721,3.6
394458,2019,6,1345945,1298322,47623,3.5
394458,2019,7,1350267,1302661,47606,3.5
394458,2019,8,1354014,1306473,47541,3.5
394458,2019,9,1356576,1309187,47389,3.5
394458,2019,10,1357934,1310816,47118,3.5
394458,2019,11,1358823,1312144,46679,3.4
394458,2019,12,1360189,1314090,46099,3.4
394458,2020,1,1362397,1316908,45489,3.3
394458,2020,2,1365072,1320069,45003,3.3
394458,2020,3,1307436,1251649,55787,4.3
394458,2020,4,1273969,1096424,177545,13.9
394458,2020,5,1302316,1146504,155812,12
394458,2020,6,1330693,1204373,126320,9.5
394458,2020,7,1345236,1225081,120155,8.9
394458,2020,8,1331746,1241237,90509,6.8
394458,2020,9,1329344,1240725,88619,6.7
394458,2020,10,1337556,1262259,75297,5.6
394458,2020,11,1340605,1268009,72596,5.4
394458,2020,12,1342979,1271323,71656,5.3
394458,2021,1,1344399,1273025,71374,5.3
394458,2021,2,1345413,1274488,70925,5.3
394458,2021,3,1347008,1277031,69977,5.2
394458,2021,4,1349701,1281187,68514,5.1
394458,2021,5,1353266,1286481,66785,4.9
394458,2021,6,1357107,1292065,65042,4.8
394458,2021,7,1361442,1298561,62881,4.6
394458,2021,8,1365668,1305337,60331,4.4
394458,2021,9,1369396,1311646,57750,4.2
394458,2021,10,1372059,1316470,55589,4.1
394458,2021,11,1372520,1317515,55005,4
394458,2021,12,1372154,1317058,55096,4
394458,2022,1,1375521,1322899,52622,3.8
394458,2022,2,1379412,1328627,50785,3.7
394458,2022,3,1384703,1335082,49621,3.6
394458,2022,4,1390916,1341988,48928,3.5
394458,2022,5,1397241,1348695,48546,3.5
394458,2022,6,1404412,1355970,48442,3.4
394458,2022,7,1411211,1363456,47755,3.4
394458,2022,8,1415934,1368001,47933,3.4
394463,2018,3,4963614,4753730,209884,4.2
394463,2018,4,4960889,4756797,204092,4.1
394463,2018,5,4959982,4759532,200450,4
394463,2018,6,4961285,4762416,198869,4
394463,2018,7,4964193,4765720,198473,4
394463,2018,8,4969483,4770051,199432,4
394463,2018,9,4976756,4775171,201585,4.1
394463,2018,10,4984436,4779818,204618,4.1
394463,2018,11,4992719,4784079,208640,4.2
394463,2018,12,5000345,4787426,212919,4.3
394463,2019,1,5004437,4788931,215506,4.3
394463,2019,2,5002967,4788087,214880,4.3
394463,2019,3,4996872,4785999,210873,4.2
394463,2019,4,4989570,4785305,204265,4.1
394463,2019,5,4983478,4786885,196593,3.9
394463,2019,6,4979635,4789928,189707,3.8
394463,2019,7,4978455,4793562,184893,3.7
394463,2019,8,4978588,4796909,181679,3.6
394463,2019,9,4978645,4799196,179449,3.6
394463,2019,10,4977941,4800047,177894,3.6
394463,2019,11,4977530,4800914,176616,3.5
394463,2019,12,4978556,4802611,175945,3.5
394463,2020,1,4983633,4806690,176943,3.6
394463,2020,2,4993580,4812999,180581,3.6
394463,2020,3,5011719,4717617,294102,5.9
394463,2020,4,4909223,4017180,892043,18.2
394463,2020,5,4836399,4110558,725841,15
394463,2020,6,4796790,4183563,613227,12.8
394463,2020,7,4819662,4242717,576945,12
394463,2020,8,4774826,4290698,484128,10.1
394463,2020,9,4773916,4328307,445609,9.3
394463,2020,10,4736986,4355935,381051,8
394463,2020,11,4763351,4375344,388007,8.1
394463,2020,12,4755922,4390075,365847,7.7
394463,2021,1,4751819,4402937,348882,7.3
394463,2021,2,4752445,4415324,337121,7.1
394463,2021,3,4758687,4428725,329962,6.9
394463,2021,4,4767704,4442958,324746,6.8
394463,2021,5,4776230,4458115,318115,6.7
394463,2021,6,4817399,4474422,342977,7.1
394463,2021,7,4815056,4498456,316600,6.6
394463,2021,8,4818807,4529482,289325,6
394463,2021,9,4829125,4563733,265392,5.5
394463,2021,10,4840933,4592488,248445,5.1
394463,2021,11,4843575,4599316,244259,5
394463,2021,12,4841327,4596936,244391,5
394463,2022,1,4869370,4635947,233423,4.8
394463,2022,2,4892148,4666522,225626,4.6
394463,2022,3,4911147,4690773,220374,4.5
394463,2022,4,4918780,4702597,216183,4.4
394463,2022,5,4925388,4709539,215849,4.4
394463,2022,6,4921956,4707228,214728,4.4
394463,2022,7,4915477,4699645,215832,4.4
394463,2022,8,4918991,4698105,220886,4.5
394692,2018,3,3341489,3187980,153509,4.6
394692,2018,4,3345249,3193812,151437,4.5
394692,2018,5,3346843,3197945,148898,4.4
