RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022
102001,0,United States,country,,7000,7600,8900,9100,9900,9900,9500,9000,9000,9000,7500,6500,7100,7410,8900,9500,10000,10000,9600,9000,9000,8000,7000,6000,7000,9100,9300,7900,9000,10000,10000,10000,10000,10000,10000,9900,10000,10000,10000,10000,10500,10850,10100,10000,10000,10000,10000,10000,10000,10000,10500,13500,15000,15000,14010,11000,10100,10100
394913,1,"New York, NY",msa,NY,15001,16000,19751.5,20000,20000,20000,16250,15000,20000,19100,16000,15000,16000,15500,17000,20000,19256,19500,16000,15000,19001,17000,16000,15000,16000,18000,16000,14900,15000,16000,20000,20000,20000,20000,20000,20000,20000,20000,20000,24000,24000,23000.5,21000,20000,21000,20000,20000,20000,20000,25001,26000,25000,25100,26000,25000,21000,25000,24999
753899,2,"Los Angeles, CA",msa,CA,20000,20000,20000,20000,20000,20000,20000,19100,20000,20000,19900,15160,19200,19000,19100,20000,20000,20000,20000,20000,20000,20000,20000,19100,20000,25000,24999,20000,20000,21000,24000,25100,25000,25000,25000,24000,26000,30000,31000,40000,40000,39000,31000,29100,29100,30000,30000,25000,34050,45000,45000,40000,40000,36000,33000,30000,30000,30000
394463,3,"Chicago, IL",msa,IL,5600,8000,9100,10000,10000,9652.5,9000,7000,7500,6000,5400,5000,6000,7000,9000,9500,9900,9657.5,9000,7000,7500,6000,5100,5000,5500,7900,8000,6000,7000,9000,10000,10000,10000,9500,7500,6000,9000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,8100,9100,10000,10000,10000,10000,10000,10000,10000,10000,10000
394514,4,"Dallas, TX",msa,TX,8000,8562,9900,9500,9900,9100,8000,6000,6000,6300,5856,5100,6000,6000,6000,7211,7500,7000,6600,6000,5900,5100,5400,5000,5100,6000,7000,5500,6000,7100,7005.5,7500,9000,9100,9100,9000,9900,9067,10000,10000,10900,10100,10000,10000,10000,10000,10000,10000,10000,10000,10000,11000,14000,14999,14000,10100,10000,10000
394692,5,"Houston, TX",msa,TX,10000,10000,10000,10000,10000,10000,9900,9000,9100,9100,9000,8325,9100,8967,9001,9100,9100,9100,8000,7000,7000,6070,6500,6000,6537.5,9000,9100,8100,8890,9100,9100,9100,10000,9999,9910,9900,10000,10000,10000,10000,10010,10100,10000,10000,10000,10000,10000,10000,10000,10000,10000,10100,11000,11000,10000,10000,10000,10000
395209,6,"Washington, DC",msa,VA,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10900,10100,10000,10000,10099,,,10100,10000,10000,10000,10000,10000,10100,,,14999,14900,11000,10900,10900,10100,10000,10001,13000,15000,15000.5,17000,16225,15001,15000,15000,15000
394856,7,"Miami, FL",msa,FL,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10100,13600,14000,13000,,12000,13000,13999,15000,16000,20000,20000,24000,24846.5,20000,20000,20000,19900
394974,8,"Philadelphia, PA",msa,PA,6400,6000,7400,7498,9900,10000,9000,7900,9600,9001,7800,7000,7100,6500,7000,9500,10000,9901,9100,8895.5,9963,9500,8000,7000,9000,10000,9900,6800,8000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
394347,9,"Atlanta, GA",msa,GA,7900,9100,10000,10000,10000,10000,9000,8000,7400,7000,5100,5000,5100,5600,6000,7000,7600,8000,7000,6000,5450,5100,5000,5000,5112.5,7100,8000,6000,7000,9000,9900,10000,10000,10000,10000,10000,10000,10000,10000,10100,12000,14005,12000,12000,10000,10000,10000,10000,10000,10000,10000,11000,12000,12000,10100,10000,10000,10000
