region_id,region_desc,week,sales_inventory,civilian_labor_force,employment,unemployment,unemployment_rate,med_house_price,rent_index,sales_count
394463,"Chicago, IL",3/31/2018,38581,4963614,4753730,209884,4.2,284600,1610.46,9053
394463,"Chicago, IL",4/30/2018,42253,4960889,4756797,204092,4.1,294600,1622.52,11208
394463,"Chicago, IL",5/31/2018,45757,4959982,4759532,200450,4,300600,1634.7,13708
394463,"Chicago, IL",6/30/2018,47492,4961285,4762416,198869,4,302267,1645.26,15524
394463,"Chicago, IL",7/31/2018,48984,4964193,4765720,198473,4,301967,1651.54,14358
394463,"Chicago, IL",8/31/2018,49782,4969483,4770051,199432,4,297933,1650.94,13634
394463,"Chicago, IL",9/30/2018,49630,4976756,4775171,201585,4.1,296117,1643.64,10809
394463,"Chicago, IL",10/31/2018,48916,4984436,4779818,204618,4.1,292783,1632.04,11088
394463,"Chicago, IL",11/30/2018,46495,4992719,4784079,208640,4.2,288483,1623.91,9566
394463,"Chicago, IL",12/31/2018,42304,5000345,4787426,212919,4.3,283333,1618.47,8519
394463,"Chicago, IL",1/31/2019,38250,5004437,4788931,215506,4.3,280000,1624.16,6214
394463,"Chicago, IL",2/28/2019,36754,5002967,4788087,214880,4.3,284300,1632.49,6288
394463,"Chicago, IL",3/31/2019,39387,4996872,4785999,210873,4.2,291267,1646.92,8477
394463,"Chicago, IL",4/30/2019,43789,4989570,4785305,204265,4.1,301267,1661.15,10285
394463,"Chicago, IL",5/31/2019,48113,4983478,4786885,196593,3.9,306300,1675.38,12394
394463,"Chicago, IL",6/30/2019,50794,4979635,4789928,189707,3.8,309467,1687.48,13312
394463,"Chicago, IL",7/31/2019,51883,4978455,4793562,184893,3.7,306465,1694.66,13417
394463,"Chicago, IL",8/31/2019,52135,4978588,4796909,181679,3.6,302798,1695.83,12612
394463,"Chicago, IL",9/30/2019,51829,4978645,4799196,179449,3.6,298998,1691.52,10672
394463,"Chicago, IL",10/31/2019,50805,4977941,4800047,177894,3.6,295633,1683.04,10341
394463,"Chicago, IL",11/30/2019,47938,4977530,4800914,176616,3.5,290967,1672.48,8569
394463,"Chicago, IL",12/31/2019,43093,4978556,4802611,175945,3.5,284933,1666.06,8720
394463,"Chicago, IL",1/31/2020,38966,4983633,4806690,176943,3.6,281633,1669.8,7079
394463,"Chicago, IL",2/29/2020,37740,4993580,4812999,180581,3.6,284967,1680.46,6343
394463,"Chicago, IL",3/31/2020,39339,5011719,4717617,294102,5.9,291633,1694.35,8012
394463,"Chicago, IL",4/30/2020,39363,4909223,4017180,892043,18.2,297967,1696.71,8677
394463,"Chicago, IL",5/31/2020,39734,4836399,4110558,725841,15,299600,1697.19,8084
394463,"Chicago, IL",6/30/2020,40277,4796790,4183563,613227,12.8,301300,1692.78,10031
394463,"Chicago, IL",7/31/2020,42454,4819662,4242717,576945,12,304633,1691.67,13070
394463,"Chicago, IL",8/31/2020,43099,4774826,4290698,484128,10.1,307667,1683.4,13689
394463,"Chicago, IL",9/30/2020,42308,4773916,4328307,445609,9.3,309300,1667.77,13203
394463,"Chicago, IL",10/31/2020,40961,4736986,4355935,381051,8,306300,1646.95,16714
394463,"Chicago, IL",11/30/2020,38027,4763351,4375344,388007,8.1,303267,1630.22,14622
394463,"Chicago, IL",12/31/2020,33837,4755922,4390075,365847,7.7,298267,1620.65,12997
394463,"Chicago, IL",1/31/2021,31334,4751819,4402937,348882,7.3,296567,1618.49,11099
394463,"Chicago, IL",2/28/2021,29465,4752445,4415324,337121,7.1,299900,1621.85,9423
394463,"Chicago, IL",3/31/2021,30421,4758687,4428725,329962,6.9,304933,1638.02,11665
394463,"Chicago, IL",4/30/2021,30933,4767704,4442958,324746,6.8,309967,1668.25,13930
394463,"Chicago, IL",5/31/2021,33464,4776230,4458115,318115,6.7,311667,1704.62,13159
394463,"Chicago, IL",6/30/2021,35736,4817399,4474422,342977,7.1,313333,1736.26,16122
394463,"Chicago, IL",7/31/2021,37773,4815056,4498456,316600,6.6,313300,1757.95,17169
394463,"Chicago, IL",8/31/2021,39152,4818807,4529482,289325,6,308267,1775.6,16374
394463,"Chicago, IL",9/30/2021,39022,4829125,4563733,265392,5.5,303233,1784.86,15058
394463,"Chicago, IL",10/31/2021,37824,4840933,4592488,248445,5.1,299600,1787.93,13843
394463,"Chicago, IL",11/30/2021,34563,4843575,4599316,244259,5,296300,1788.9,11149
394463,"Chicago, IL",12/31/2021,29739,4841327,4596936,244391,5,289633,1795.63,10295
394463,"Chicago, IL",1/31/2022,24881,4869370,4635947,233423,4.8,284966,1808.47,8634
394463,"Chicago, IL",2/28/2022,21732,4892148,4666522,225626,4.6,287967,1823.78,6306
394463,"Chicago, IL",3/31/2022,22202,4911147,4690773,220374,4.5,297667,1843.01,9819
394463,"Chicago, IL",4/30/2022,23672,4918780,4702597,216183,4.4,309300,1865.31,10523
394463,"Chicago, IL",5/31/2022,26136,4925388,4709539,215849,4.4,317967,1890.51,11312
394463,"Chicago, IL",6/30/2022,28137,4921956,4707228,214728,4.4,323300,1911.44,12196
394463,"Chicago, IL",7/31/2022,29939,4915477,4699645,215832,4.4,323983,1930.81,10632
394463,"Chicago, IL",8/31/2022,30827,4918991,4698105,220886,4.5,320649,1939.37,11132
394463,"Chicago, IL",9/30/2022,30437,,,,,317316,1941.93,8466
394692,"Houston, TX",3/31/2018,25618,3341489,3187980,153509,4.6,294467,1337.16,5686
394692,"Houston, TX",4/30/2018,27360,3345249,3193812,151437,4.5,297933,1343.2,6225
394692,"Houston, TX",5/31/2018,29634,3346843,3197945,148898,4.4,299633,1348.22,7246
394692,"Houston, TX",6/30/2018,31129,3347317,3201023,146294,4.4,299933,1352.5,7344
394692,"Houston, TX",7/31/2018,32397,3347722,3203904,143818,4.3,299633,1355.41,7245
394692,"Houston, TX",8/31/2018,32911,3349507,3207516,141991,4.2,297800,1355.49,7232
394692,"Houston, TX",9/30/2018,32423,3353355,3212373,140982,4.2,296165,1353.17,5605
